Filename,Baseline Accuracy (%),Modified Accuracy (%),Baseline Text,Modified Text,Ground Truth
247.059_250.921.mp3,88.89,88.89, And then the elephant walks over to the bed., and then the elephant walks over to the bed.,and then the elephant walks over to the bench
258.364_261.205.mp3,0,100.0," It's a cave, the giraffe."," Okay, the giraffe.",okay the giraffe
261.967_264.289.mp3,44.44,33.33, as the airplane on the plane with it., I was the airplane on the plane with it.,has the airplane and they are playing with it
284.245_286.307.mp3,80.0,80.0, and then the giraffe is mad., and then the giraffe is mad.,then the giraffe is mad
288.569_290.17.mp3,0.0,0.0, and life's God., and life's God.,and the lifeguard
290.883_292.744.mp3,33.33,50.0, see some pain into the water., the rain into the water.,sees the plane in the water
294.686_297.368.mp3,100.0,83.33, and the elephant explains what happened., and the elephant explains what happens.,and the elephant explains what happened
299.289_301.71.mp3,70.0,70.0, and the life could just stretch out and get it., and the life could just stretch out and get it.,and the lifeguard tries to stretch out and get it
303.512_307.554.mp3,75.0,75.0, but then he can reach it and the giraffe is quiet., but then he can reach it and the giraffe is quiet.,but then he could not reach it and the giraffe is crying
319.153_321.796.mp3,88.89,66.67, and she grabs the plate out with the net., and she grabs the pain out of the neck.,and she grabs the plane out with the net
323.858_325.72.mp3,66.67,55.56, And then she goes back to the drawer., And then she goes about to the drive.,and then she gives it back to the giraffe
327.342_329.024.mp3,83.33,50.0, And then the giraffe hugs him., and then the draft hug.,and then the giraffe hugs it
60.945_61.585.mp3,0.0,0.0, collapse., collapse.,it collapsed
63.426_65.447.mp3,57.14,85.71, And now the other animals cry., And now the other animal is quiet.,and now the other animal is crying
70.888_74.69.mp3,100.0,100.0, The animal sees the rabbit and he's waving., The animal sees the rabbit and he's waving.,the animal sees the rabbit and he is waving
76.85_79.331.mp3,100.0,100.0, they decide to have a picnic together., they decide to have a picnic together.,they decide to have a picnic together
88.803_90.905.mp3,100.0,66.67, Now the rabbit feels really bad., Now the rabbit she is really bad.,now the rabbit feels really bad
93.467_95.369.mp3,100.0,100.0, and now the doctor comes., And now the doctor comes.,and now the doctor comes
97.491_101.414.mp3,100.0,100.0, and the animal is pulling the doctor to the rabbit., and the animal is pulling the doctor to the rabbit.,and the animal is pulling the doctor to the rabbit
